order,start_day,name,place,image,,,,
254,1203,光のワクワクさん,中庭,images/1203/光のワクワクさん.jpg,,,,
255,1203,鴨川イカダレース2022,鴨川,images/1203/鴨川イカダレース2022.jpg,,,,
256,1203,視力低下出前館,食堂、ロビー、食堂北部（どこでも）,images/1203/視力低下出前館.jpg,,,,
257,1203,姫路城を見て京都駅大階段へ行こう！,山陰本線、播但線、東海道本線経由,images/1203/姫路城を見て京都駅大階段へ行こう！.jpg,,,,
258,1203,寮祭ライブ,食堂,images/1203/寮祭ライブ.jpg,,,,
259,1203,流刑,四条大橋,images/1203/流刑.jpg,,,,
260,1203,鴨川全力砂鉄集め,鴨川,images/1203/鴨川全力砂鉄集め.jpg,,,,
261,1203,ピザ窯コンパ,中庭,images/1203/ピザ窯コンパ.jpg,,,,
262,1203,NovelAIで全員の好み合わせたら最強の絵ができる説,どこか,images/1203/NovelAIで全員の好み合わせたら最強の絵ができる説.jpg,,,,
263,1203,無色透明,食堂・ロビー,images/1203/無色透明.jpg,,,,
264,1203,いらすとやタイトル当てクイズファイナル,食堂,images/1203/いらすとやタイトル当てクイズファイナル.jpg,,,,
265,1203,スカートワンピースコンパ,どこか,images/1203/スカートワンピースコンパ.jpg,,,,
266,1203,保健所感謝の日,柳馬場御池アサヒビル　京都市保健福祉局,images/1203/保健所感謝の日.jpg,,,,
267,1203,学寮コンパ,食堂,images/1203/学寮コンパ.jpg,,,,
268,1203,京都駅大階段グリコ,京都駅,images/1203/京都駅大階段グリコ.jpg,,,,
269,1203,一夜漬け司法試験,どこか,images/1203/一夜漬け司法試験.jpg,,,,
270,1203,外山合宿同窓会,ロビーまたは食堂,images/1203/外山合宿同窓会.jpg,,,,
271,1203,ゲシュ「タルト」崩壊,食堂,images/1203/ゲシュ「タルト」崩壊.jpg,,,,
272,1203,ハンディキャップ卓球大会,食堂,images/1203/ハンディキャップ卓球大会.jpg,,,,
273,1204,しまむら本気コーデ対決,しまむら京都アバンティ店,images/1204/しまむら本気コーデ対決.jpg,,,,
274,1204,バンカラファッションショー,食堂上,images/1204/バンカラファッションショー.jpg,,,,
